Algeria,43851044,2381740,18
Angola,32866272,1246700,26
Benin,12123200,112760,108
Botswana,2351627,566730,4
Burkina Faso,20903273,273600,76
Burundi,11890784,25680,463
Côte d Ivoire,26378274,318000,83
Cabo Verde,555987,4030,138
Cameroon,26545863,472710,56
Central African Republic,4829767,622980,8
Chad,16425864,1259200,13
Comoros,869601,1861,467
The Republic of the Congo,5518087,341500,16
Democratic Republic of the Congo,89561403,2267050,40
Djibouti,988000,23180,43
Egypt,102334404,995450,103
Equatorial Guinea,1402985,28050,50
Eritrea,3546421,101000,35
Eswatini,1160164,17200,67
Ethiopia,114963588,1000000,115
Gabon,2225734,257670,9
Gambia,2416668,10120,239
Ghana,31072940,227540,137
Guinea,13132795,245720,53
Guinea-Bissau,1968001,28120,70
Kenya,53771296,569140,94
Lesotho,2142249,30360,71
Liberia,5057681,96320,53
Libya,6871292,1759540,4
Madagascar,27691018,581795,48
Malawi,19129952,94280,203
Mali,20250833,1220190,17
Mauritania,4649658,1030700,5
Mauritius,1271768,2030,626
Morocco,36910560,446300,83
Mozambique,31255435,786380,40
Namibia,2540905,823290,3
Niger,24206644,1266700,19
Nigeria,206139589,910770,226
Rwanda,12952218,24670,525
Sao Tome and Principe,219159,960,228
Senegal,16743927,192530,87
Seychelles,98347,460,214
Sierra Leone,7976983,72180,111
Somalia,15893222,627340,25
South Africa,59308690,59308690,1213090,49
South Sudan,11193725,610952,18
Sudan,43849260,1765048,25
Tanzania,59734218,885800,67
Togo,8278724,54390,152
Tunisia,11818619,155360,76
Uganda,45741007,199810,229
Zambia,18383955,743390,25
Zimbabwe,14862924,386850,38
