Afghanistan,38928346,652860,60
Armenia,2963243,28470,104
Azerbaijan,10139177,82658,123
Bahrain,1701575,760,2239
Bangladesh,164689383,130170,1265
Bhutan,771608,38117,20
Brunei,437479,5270,83
Cambodia,16718965,176520,95
China,1439323776,9388211,153
Cyprus,1207359,9240,131
Georgia,3989167,69490,57
India,1380004385,2973190,464
Indonesia,273523615,1811570,151
Iran,83992949,1628550,52
Iraq,40222493,434320,93
Israel,8655535,21640,400
Japan,126476461,364555,347
Jordan,10203134,88780,115
Kazakhstan,18776707,2699700,7
Kuwait,4270571,17820,240
Kyrgyzstan,6524195,191800,34
Laos,7275560,230800,32
Lebanon,6825445,10230,667
Malaysia,32365999,328550,99
Maldives,540544,300,1802
Mongolia,3278290,1553560,2
Myanmar,54409800,653290,83
Nepal,29136808,143350,203
North Korea,25778816,120410,214
Oman,5106626,309500,16
Pakistan,220892340,770880,287
Palestine State,5101414,6020,847
Philippines,109581078,298170,368
Qatar,2881053,11610,248
Saudi Arabia,34813871,2149690,16
Singapore,5850342,700,8358
South Korea,51269185,97230,527
Sri Lanka,21413249,62710,341
Syria,17500658,183630,95
Tajikistan,9537645,139960,68
Thailand,69799978,510890,137
Timor-Leste,1318445,14870,89
Turkey,84339067,769630,110
Turkmenistan,6031200,469930,13
United Arab Emirates,9890402,83600,118
Uzbekistan,33469203,425400,79
Vietnam,97338579,310070,314
Yemen,29825964,527970,56
