Albania,2877797,27400,105
Andorra,77265,470,164
Austria,9006398,82409,109
Belarus,9449323,202910,47
Belgium,11589623,30280,383
Bosnia and Herzegovina,3280819,51000,64
Bulgaria,6948445,108560,64
Croatia,4105267,55960,73
Czechia,10708981,77240,139
Denmark,5792202,42430,137
Estonia,1326535,42390,31
Finland,5540720,303890,18
France,65273511,547557,119
Germany,83783942,348560,240
Greece,10423054,128900,81
Holy See,801,0.44,2003
Hungary,9660351,90530,107
Iceland,341243,100250,3
Ireland,4937786,68890,72
Italy,60461826,294140,206
Latvia,1886198,62200,30
Liechtenstein,38128,160,238
Lithuania,2722289,62674,43
Luxembourg,625978,2590,242
Malta,441543,320,1380
Moldova,4033963,32850,123
Monaco,39242,1.02,26337
Montenegro,628066,13450,47
Netherlands,17134872,33720,508
North Macedonia,2083374,25220,83
Norway,5421241,365268,15
Poland,37846611,306230,124
Portugal,10196709,91590,111
Romania,19237691,230170,84
Russia,145934462,16376870,9
San Marino,33931,60,566
Serbia,8737371,87460,100
Slovakia,5459642,48088,114
Slovenia,2078938,20140,103
Spain,46754778,498800,94
Sweden,10099265,410340,25
Switzerland,8654622,39516,219
Ukraine,43733762,579320,75
United Kingdom,67886011,241930,281
